,id,created_at,verified,username,text,location,listed_count,follower_count,retweet_count
3642,1226968717889765376,2020-02-10 20:38:32,False,marianeharris,"b""RT @TorraineWalker: You got #IStandWithGayle on one side, #IStandWithSnoop on the other, and everybody's so busy setting up their soapboxes\xe2\x80\xa6""",,1,24,45
3643,1226968717172584449,2020-02-10 20:38:32,False,2fabjazz,"b'RT @enews: ""I\xe2\x80\x99ve been reluctant to put my feelings into words. My brain refuses to accept that both Kobe and Gigi are gone. I can\xe2\x80\x99t process\xe2\x80\xa6'",,10,469,252
3644,1226968715272577025,2020-02-10 20:38:32,False,Tibry_OVO,b'RT @BleacherReport: Kobe was honored at the Oscars tonight \xf0\x9f\x99\x8f https://t.co/9hX2KgmGVV',"Paris, France",28,434,9382
3645,1226968714421194758,2020-02-10 20:38:32,False,jumpmanjb_23,"b'RT @ESPNNBA: On this day in 2002, Kobe returned to his hometown of Philly for the All-Star Game and took the MVP award with him. https://t.\xe2\x80\xa6'","Huntsville, AL",2,847,1377
3646,1226968712294621189,2020-02-10 20:38:31,False,king_rela,b'RT @CristalBarzz: Kobe had one accuser and he was acquitted. Charlie Rose had 27 accusers and #GayleKing stood by him. Make it make sense.\xe2\x80\xa6',,99,1778,618
3647,1226968710281400320,2020-02-10 20:38:31,False,zakariamwita,"b'In Kobe\xe2\x80\x99s Death, A\xc2\xa0Lesson https://t.co/XNpnmj29wb'","Dar es Salaam, Tanzania",0,124,0
3648,1226968709153087489,2020-02-10 20:38:30,False,forkthepork,"b'RT @Mamba_Insider: ""As basketball players, we\'re really supposed to shut up and dribble, but I\'m glad we did a little bit more than that.""\xe2\x80\xa6'",DC/BROOKLYN,9,104,2717
3649,1226968708041576449,2020-02-10 20:38:30,False,AandyyL,b'RT @Mamba_Insider: Kobe had some monster blocks in his career \xf0\x9f\x91\x80\xf0\x9f\x92\xaf https://t.co/qJcEsc4QpD',Dominican Republic,0,100,248
3650,1226968708020654080,2020-02-10 20:38:30,False,93kurtloder,b'RT @BlueTheGreat: If I do paint a Kobe Mural I\xe2\x80\x99ll have shirts and stuff there available for free.',,1,145,10
3651,1226968702328934401,2020-02-10 20:38:29,False,_GMOB,"b'RT @dailydunkfr: Mamba Monday : quand Kobe for\xc3\xa7ait ses co\xc3\xa9quipiers \xc3\xa0 s\xe2\x80\x99entra\xc3\xaener \xc3\xa0 5 heures du mat, apr\xc3\xa8s avoir \xc3\xa9t\xc3\xa9 en boite https://t.co/e\xe2\x80\xa6'",91 - Essonne,2,100,10
3652,1226968700508680193,2020-02-10 20:38:28,False,badan87789570,b'@MsTessMcGill @Duryea132 @feliciasonmez @MarcosBreton How can you say that the anger is misplaced when you\xe2\x80\x99re unabl\xe2\x80\xa6 https://t.co/gumCuJp4U8',,0,1,0
3653,1226968696104636427,2020-02-10 20:38:27,False,ColinLockett15,b'RT @tysonbeckdesign: Spent my week taking down this official Kobe Bryant artwork I made from 102 stores and ads illegally selling it. \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xe2\x80\xa6',"San Diego, CA",28,2085,1648
3654,1226968694078701571,2020-02-10 20:38:27,False,MarkUK247,b'RT @ChargersLegion: What a heart breaking year as a Laker/Charger fan:\n\nKobe Bryant Tragic death \n\nAntonio Gates retires \n\nEric Weddle reti\xe2\x80\xa6',London UK,14,527,68
3655,1226968693965496322,2020-02-10 20:38:27,False,debosssketches,"b'RT @cavs: February 10, 2016.\n\nKobe Bryant gifts @KingJames his game-worn shoes following his final game played in Cleveland.\n\n#MambaForever\xe2\x80\xa6'",Streetz,2,1949,1256
3656,1226968693088948225,2020-02-10 20:38:27,False,SunflowerSoul71,"b'RT @FOXLA: Vanessa Bryant poured her heart out Monday, saying she is struggling to cope with the deaths of her husband -- Laker legend Kobe\xe2\x80\xa6'",,75,17026,15
3657,1226968689028800512,2020-02-10 20:38:26,False,prxncegrey,b'RT @JarjourSami: LeBron &amp; Kobe \xf0\x9f\x92\x94\xf0\x9f\x98\xad https://t.co/EIkcm4C34I',,0,11,42358
3658,1226968687044911113,2020-02-10 20:38:25,False,janieho16,"b'RT @NYDailyNews: The world grieving, with Vanessa Bryant.  \n\n""My brain refuses to accept that both Kobe and Gigi are gone. I can\xe2\x80\x99t process\xe2\x80\xa6'",NYC / ♡ about.me/janieho,227,1462,6
3659,1226968681583915008,2020-02-10 20:38:24,False,HMmusicgroup,b'RT @EstevanC530: @icecube Got this for Kobe \xf0\x9f\x92\x9c\xf0\x9f\x92\x9b https://t.co/lSyFbMykn6',Los Angeles,0,45,1
3660,1226968676341047297,2020-02-10 20:38:23,True,FOXLA,"b'""Why should I be able to wake up another day when my baby girl isn\'t being able to have that opportunity?! I\'m so m\xe2\x80\xa6 https://t.co/m2aNBHmBMi'","Los Angeles, CA",3269,243377,8
3661,1226968674856263681,2020-02-10 20:38:22,False,Kobe_ofori16,b'RT @citizenfranki: 3tw3',Cloud 9☁️,0,1224,1
3662,1226968674663305216,2020-02-10 20:38:22,False,cypheroftyr,b'RT @KevOnStage: Man I thought I felt everything I could feel about Kobe.  But his explanation  for using helicopters made me feel more.  ht\xe2\x80\xa6',"Chicago, IL",615,18961,25582
3663,1226968669735071744,2020-02-10 20:38:21,False,agsandre3,"b'RT @ESPNNBA: On this day in 2002, Kobe returned to his hometown of Philly for the All-Star Game and took the MVP award with him. https://t.\xe2\x80\xa6'","Dreamville, CA",9,557,1377
3664,1226968667860164610,2020-02-10 20:38:21,False,BeCallipygian,"b'RT @ComplexSports: 17 years ago today, MJ had to remind Kobe how many rings he had during his final All-Star Game \xf0\x9f\x98\x82\n\n https://t.co/Aj2U5Uig\xe2\x80\xa6'",9km à droite après Narnia,38,302,14810
3665,1226968646930571264,2020-02-10 20:38:16,False,Nasim_Th3_Dr3am,b'RT @timelesssports_: (2001) Kobe and Iverson jawing at each other during the Finals.\n\nUndeniable passion. \xe2\x99\xbe https://t.co/FzDM41OycM',"Georgia, USA",0,81,1227
3666,1226968641125715976,2020-02-10 20:38:14,False,ericvelazquezz,"b'RT @Mamba_Insider: ""As basketball players, we\'re really supposed to shut up and dribble, but I\'m glad we did a little bit more than that.""\xe2\x80\xa6'",813,0,361,2717
3667,1226968639896772608,2020-02-10 20:38:14,False,Jo4126,"b""@nancy_swider31 @yashar @GayleKing A white female reporter that did that would be accosted by Kobe's thug friends l\xe2\x80\xa6 https://t.co/9Rb4WYsDlv""",,1,66,0
3668,1226968623601897473,2020-02-10 20:38:10,False,Luisalemos01,b'Kobe arrastrarme as\xc3\xad? Oiga',"Medellin, Colombia",0,103,0
3669,1226968622310055938,2020-02-10 20:38:10,False,DerrickPennel,b'1min silence for kofe bryant and kobe kay\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe',"Accra, Ghana",0,989,1
3670,1226968620946874368,2020-02-10 20:38:09,False,BroYouGood,"b'RT @cavs: February 10, 2016.\n\nKobe Bryant gifts @KingJames his game-worn shoes following his final game played in Cleveland.\n\n#MambaForever\xe2\x80\xa6'","Dallas, TX",7,617,1256
3671,1226968615561420802,2020-02-10 20:38:08,False,MansaRhea,b'RT @CristalBarzz: Kobe had one accuser and he was acquitted. Charlie Rose had 27 accusers and #GayleKing stood by him. Make it make sense.\xe2\x80\xa6',Carol City to ATL,5,568,618
3672,1226968611253780480,2020-02-10 20:38:07,False,andy52424866,b'RT @HoopsVids: \xe2\x80\x9cWe should all be fortunate that Allen Iverson wasn\xe2\x80\x99t 6\xe2\x80\x995\xe2\x80\x9d \xe2\x80\x94 Kobe Bryant  https://t.co/W8dIvU4Mom',,0,172,285
3673,1226968607671955456,2020-02-10 20:38:06,True,106KMEL,b'#SpikeLee was honoring #KobeBryant on the red carpet\nhttps://t.co/gMg909SIx3',Bay Area,608,77622,1
3674,1226968605188816898,2020-02-10 20:38:06,False,magno______,b'RT @TibuJarocho: Primer homenaje de la noche  a Kobe \xf0\x9f\x8f\x80en funci\xc3\xb3n @luchalibreaaa  en Veracruz @NBAMEX @Lakers https://t.co/LAX71Y5tyb',Ciudad de México,2,350,33
3675,1226968603016286210,2020-02-10 20:38:05,False,_trudom,b'RT @timelesssports_: (2001) Kobe and Iverson jawing at each other during the Finals.\n\nUndeniable passion. \xe2\x99\xbe https://t.co/FzDM41OycM',"monterey, ca",0,470,1227
3676,1226968602299027456,2020-02-10 20:38:05,False,stratfordw10,b'RT @OprahSide: yall really let curry take a whole year off just so he wouldnt get exposed.. \nkobe &amp; lebron would never... https://t.co/NgdG\xe2\x80\xa6',"Ohio, USA",3,423,786
