,username,type,to
3837,@mikeale_,RT,@LegionHoops
3838,@Juventud27feb,RT,@GustavoSanchezq
3839,@28Brittany,Tweet,@28Brittany
3840,@Mitchel84768275,Tweet,@Mitchel84768275
3841,@Shaun_MurdaShow,Tweet,@Shaun_MurdaShow
3842,@PretzelPapi,Tweet,@PretzelPapi
3843,@sccpleox,RT,@NBABrasil
3844,@_Experto_,Tweet,@_Experto_
3845,@ChrissyRonkz,RT,@CristalBarzz
3846,@24Strokeybob,RT,@Mamba_Insider
3847,@funaq,RT,@johoichiba
3848,@mack_mane13,RT,@SportsCenter
3849,@Bitch_ImDD,RT,@timelesssports_
3850,@viaxshine_,RT,@BleacherReport
3851,@danielfria,RT,@MattNorlander
3852,@sergiblaka,RT,@LegionHoops
3853,@nnataly_cruz,RT,@Mamba_Insider
3854,@el_gallo14,RT,@timelesssports_
3855,@fing_bz,RT,@SportsCenter
3856,@twoxicggurl,RT,@Variety
3857,@Hammertonhal,Tweet,@Hammertonhal
3858,@TreydueceJW,RT,@cavs
3859,@352_weupnext,RT,@AudelDelToro
3860,@traeway36,RT,@ChefBetter
3861,@___JustRichard,Tweet,@___JustRichard
3862,@DJGreenVillain,RT,@NYDailyNews
3863,@SeizeGamin,RT,@KustmKontrllerz
3864,@larriagax,Tweet,@larriagax
3865,@wcb94,Tweet,@wcb94
3866,@ManuPlanetario,RT,@NBAdictosRC
3867,@BDFITL,Tweet,@BDFITL
3868,@YoungNarcolepsy,Tweet,@YoungNarcolepsy
3869,@YeZ_ZiR,RT,@ESPNNBA
3870,@urfaavshawty,RT,@Butterfly_424
3871,@laurenkeltz_,RT,@BleacherReport
3872,@ivandcm_,RT,@BleacherReport
3873,@kobe_evans13,RT,@yslshamar
3874,@Charles_Zander_,Tweet,@Charles_Zander_
3875,@jayeboe,RT,@tysonbeckdesign
3876,@FPVSAjlan,Tweet,@FPVSAjlan
3877,@sheabeurre,Tweet,@sheabeurre
3878,@HarknessJuan,RT,@CristalBarzz
3879,@kobe24jm,Tweet,@kobe24jm
3880,@CharlieMccard,RT,@ChargersLegion
3881,@leeshyy8,RT,@enews
3882,@_zaaria,Tweet,@_zaaria
3883,@CoL_jonsinho,RT,@SportsCenter
3884,@Gerardxfig,RT,@Mamba_Insider
3885,@ValerieWinston,RT,@Mamba_Insider
3886,@_Thirst22,Tweet,@_Thirst22
3887,@Andreko3,RT,@gifdsports
3888,@Spliffage,RT,@TylerIAm
3889,@goo_rey,RT,@caaessynn
3890,@KeithFrank31,Tweet,@KeithFrank31
3891,@A_Moss20,Tweet,@A_Moss20
3892,@Chosen__83,Tweet,@Chosen__83
3893,@JayFTBGaming,RT,@ESPNNBA
3894,@Sheldon94741344,Tweet,@Sheldon94741344
3895,@MrCocaineRange,RT,@Mamba_Insider
3896,@nkshio,RT,@thekitze
3897,@loyalassbih,RT,@Complex
3898,@kamilalyciaa,RT,@curvellas
3899,@AJthechampRobb,RT,@timelesssports_
3900,@BryanEscalera,Tweet,@BryanEscalera
3901,@BRIXBOYS_,RT,@MrChuckD
3902,@makeupbymoll1,RT,@karleesteel
3903,@jlazeves,RT,@tysonbeckdesign
3904,@arvinmercado24,RT,@tysonbeckdesign
3905,@AJthechampRobb,RT,@ESPNNBA
3906,@KLBComedy,RT,@Samsonyte_
3907,@PablitoRcd7,RT,@GIGANTESbasket
3908,@Realganjavitin,RT,@NBABrasil
3909,@chatmanland,RT,@TorraineWalker
3910,@golilturbo,Tweet,@golilturbo
3911,@SwaggyFFA,RT,@xRomaan
3912,@SaylasMoon,RT,@AfrDiasporaNews
3913,@_kingpeters,RT,@BleacherReport
3914,@angiepie42,Tweet,@angiepie42
3915,@jravs13,RT,@SportsCenter
3916,@ForkomI,RT,@Newsweek
3917,@paytonp10,RT,@SportsCenter
3918,@itsjustdylan23,RT,@LegionHoops
3919,@TempesttLaResia,RT,@Rachel__Nichols
3920,@JakeBarabas,RT,@BleacherReport
3921,@traeway36,RT,@LegionHoops
3922,@MrJG17,RT,@LakerFiles
3923,@val2gr8,Tweet,@val2gr8
3924,@daniel_kostic23,Tweet,@daniel_kostic23
3925,@_ThatOtherKidd,RT,@BleacherReport
3926,@SherryG_04,RT,@WTHRcom
3927,@DRZRZ,RT,@FranJMerino
3928,@ArnaudGuerreiro,RT,@LakersNation
3929,@baeet890gmailc2,RT,@MoSalah
3930,@DbGO4T,RT,@tariqnasheed
3931,@BloodyMau5,Tweet,@BloodyMau5
3932,@JigmeKelsang7,RT,@AmbitionisRare
3933,@PlutusVox,Tweet,@PlutusVox
3934,@Jboogie507,RT,@TheHoopCentral
3935,@kelli7990,RT,@enews
3936,@aliya_tisdom,RT,@Mamba_Insider
3937,@_amoahene_x,RT,@enews
3938,@NottetSandra,RT,@Omar_777_
3939,@WYExpect,Tweet,@WYExpect
3940,@6Baphey6Baby6,RT,@BradleyMartyn
3941,@OneVibeRadio,RT,@CristalBarzz
3942,@Jo4126,Tweet,@Jo4126
3943,@CJtoocold2,Tweet,@CJtoocold2
3944,@sarahtaughtyou,RT,@puemalol
3945,@liddo_gus,RT,@timelesssports_
3946,@canemsalbatros,RT,@enews
3947,@livmattioli,RT,@OfficialOctt
